customer_id,loan_type,loan_amount,emi,default_flag,credit_score,LoanType,LoanStatus,InterestRate,TenureYears
18741,Auto,119103.69,20438.05,0,791,Education Loan,Active,8.3,7
18110,Personal,806128.42,16223.56,1,600,Personal Loan,Closed,9.18,4
22788,Auto,211943.04,2921.52,1,499,Auto Loan,Active,8.76,19
4088,Personal,549745.51,24551.1,0,573,Personal Loan,Closed,11.9,4
4279,Home,807777.05,3576.64,1,822,Auto Loan,Active,11.67,16
4127,Education,970840.54,15482.08,0,561,Home Loan,Active,9.17,3
7201,Auto,579585.26,4025.95,0,584,Auto Loan,Closed,10.58,1
6165,Personal,804063.09,7777.83,1,619,Home Loan,Active,7.19,7
17572,Personal,876325.75,21443.18,1,357,Business Loan,Active,11.09,14
10367,Home,154403.92,3804,0,740,Auto Loan,Closed,10.01,17
21675,Home,759225.41,3845.38,1,333,Education Loan,Active,12.54,20
14546,Auto,211399.74,4785.52,1,826,Home Loan,Active,7.76,8
1256,Personal,988371.63,19765.19,1,456,Education Loan,Active,8.24,19
24289,Auto,798587.01,14205.06,1,821,Business Loan,Closed,10.78,14
15124,Home,88935.54,23506.52,0,597,Home Loan,Closed,12,6
15363,Auto,130680.53,14806.18,1,333,Business Loan,Active,13.52,13
6140,Home,879576.75,3039.87,1,521,Personal Loan,Active,13,15
21640,Home,209588.43,2348.36,0,723,Education Loan,Closed,11.99,18
24868,Education,423239.21,19026.84,0,436,Auto Loan,Closed,12.99,1
540,Personal,856546.02,12023.94,0,631,Auto Loan,Closed,13.89,15
12657,Personal,524060.71,10676.45,0,361,Home Loan,Closed,13.94,13
20649,Education,637977.97,17260.76,1,563,Personal Loan,Active,14.3,9
22732,Personal,927590.28,6768.04,1,744,Education Loan,Active,14.53,6
7275,Education,621993.32,9397.51,1,691,Auto Loan,Closed,11.56,19
3986,Education,959122.88,7355.8,0,834,Home Loan,Active,10.48,1
10051,Education,271990.78,8980.75,1,327,Auto Loan,Closed,8.06,6
22845,Education,391082.97,2000.18,1,371,Auto Loan,Active,14.76,19
20267,Home,116245.46,19779.49,1,835,Education Loan,Active,12.22,1
23003,Auto,636990.5,4981.68,0,601,Home Loan,Active,14.07,12
8635,Personal,349509.17,24840.46,1,424,Education Loan,Active,13.75,17
8728,Education,334645.36,2173.98,0,785,Business Loan,Active,13.5,12
5794,Home,864804.15,4635.81,1,319,Business Loan,Active,9.13,20
15766,Home,334026.95,10316.07,0,675,Auto Loan,Closed,11.78,3
7572,Personal,863388.59,14954.64,1,399,Personal Loan,Closed,13.42,7
12308,Personal,511080.28,13553.9,1,507,Auto Loan,Closed,13.37,4
23401,Auto,735852.67,22256.17,1,598,Auto Loan,Closed,9.4,3
18467,Personal,514856.87,23187.72,0,382,Personal Loan,Closed,14.93,1
10523,Personal,545838.46,23795.88,1,801,Business Loan,Closed,12.62,1
4775,Education,689375.74,12296.27,1,818,Education Loan,Active,9.33,3
758,Personal,621931.51,18414.33,1,649,Education Loan,Closed,10.89,12
712,Auto,791243.45,2880.9,0,320,Education Loan,Closed,11.2,13
17916,Education,557110.27,4209.23,0,843,Home Loan,Active,12.26,14
659,Auto,880402.34,7633.42,1,441,Personal Loan,Closed,14.06,11
10698,Auto,939569.56,22040.56,1,824,Business Loan,Active,14.59,15
16942,Personal,610965.76,9736.21,1,847,Personal Loan,Active,10.79,9
265,Education,380303.46,23644.56,0,506,Auto Loan,Closed,13.7,15
6257,Home,77479.3,15824.32,1,691,Personal Loan,Closed,9.57,19
7223,Education,443711.15,12226.61,1,329,Education Loan,Active,13.57,10
8756,Auto,188727.66,23703.93,1,556,Education Loan,Closed,11.25,18
1493,Auto,506353.74,9947.01,0,701,Business Loan,Active,11.48,16
5583,Home,977321.26,7215.03,1,842,Home Loan,Closed,14.93,6
3269,Home,167621.73,3079.71,0,528,Business Loan,Closed,12.21,6
12826,Education,428895.63,16123.17,0,428,Auto Loan,Closed,8.74,10
3078,Education,179164.84,11682.17,0,756,Business Loan,Active,11.37,19
15316,Education,906135.79,7726.73,0,676,Business Loan,Closed,8.35,9
10391,Education,920231.55,13347.39,1,350,Education Loan,Closed,9.23,17
10433,Auto,232777.17,10152.63,1,471,Personal Loan,Closed,9.83,3
11476,Education,966675.69,6309.74,0,732,Education Loan,Active,14.7,9
4235,Personal,211056.73,10153.38,0,488,Education Loan,Active,11.96,18
7114,Personal,789666.37,22893.65,1,796,Personal Loan,Closed,7.98,7
889,Education,624558.05,10895.68,0,466,Home Loan,Active,7.91,20
587,Home,256654.94,23334.89,0,596,Education Loan,Closed,9.41,19
3433,Auto,930560.15,7147.78,1,314,Auto Loan,Active,11.12,3
379,Personal,477022.51,16889.28,1,699,Home Loan,Active,8.64,16
9784,Education,964307.51,16086.05,1,576,Personal Loan,Active,13.98,7
15770,Auto,918194.99,5740.59,1,767,Business Loan,Active,13.21,20
677,Auto,499964.08,20543.07,1,529,Business Loan,Closed,8.82,9
21839,Home,425211.99,14390.61,0,605,Personal Loan,Closed,14.08,2
7105,Personal,235104.57,18869.9,1,568,Business Loan,Closed,11.08,14
12722,Home,852641.98,24782.96,0,553,Personal Loan,Active,13.36,10
13796,Home,935977.52,9430.2,1,327,Auto Loan,Closed,14.63,15
16370,Education,351459.34,11766.08,0,713,Home Loan,Closed,7.57,16
21872,Auto,229492.1,7925.11,1,755,Auto Loan,Active,8.83,9
16365,Auto,717331.86,2929.94,1,802,Home Loan,Closed,11.05,1
17920,Personal,294231.48,2016.19,1,468,Education Loan,Active,13.05,2
6515,Education,575446.51,11764.04,0,668,Personal Loan,Active,11.82,12
23238,Home,218217.11,5079.35,1,452,Home Loan,Closed,7.27,9
1349,Home,180364.33,9853.85,1,580,Auto Loan,Closed,9.58,9
15155,Home,484108.05,24434.03,1,421,Personal Loan,Closed,10.75,8
2947,Auto,517207.17,17723.94,1,406,Auto Loan,Closed,10.8,15
13091,Auto,314951.57,9188.77,1,757,Business Loan,Active,8.32,14
15687,Home,351914.39,13898.03,0,562,Home Loan,Active,14.99,19
20571,Education,321093.09,22806.03,1,734,Home Loan,Closed,8.66,17
20868,Personal,666424.66,2160.09,1,643,Auto Loan,Active,12.82,18
17715,Home,525251.24,2661.87,1,591,Auto Loan,Closed,8.7,5
23820,Education,101131.94,2187.3,1,487,Education Loan,Closed,10.68,17
11781,Home,674199.53,11002.93,1,728,Auto Loan,Active,12.24,6
13968,Auto,771766.37,4296.97,1,761,Personal Loan,Closed,8.58,11
6501,Home,847672.91,14522.52,0,470,Business Loan,Active,14.82,20
16378,Auto,393393.44,2348.42,1,495,Home Loan,Active,10.07,11
14092,Home,764646.91,17811.35,1,609,Auto Loan,Active,9.31,20
6784,Auto,892560.59,5268.68,0,368,Education Loan,Closed,8.31,11
8491,Personal,389682.48,8394.78,0,581,Home Loan,Closed,10.75,6
13786,Auto,807686.22,11549.62,1,413,Business Loan,Closed,14.73,2
19081,Auto,858254.19,20632.24,1,347,Auto Loan,Active,13.45,13
7083,Education,462747.76,23330.23,0,358,Education Loan,Active,13.15,7
371,Education,62857.24,18853.88,0,598,Personal Loan,Active,12.72,17
17640,Personal,944393.97,13854.51,1,653,Business Loan,Active,11.2,6
14085,Auto,327526.39,12873.87,1,550,Auto Loan,Active,12.37,10
12968,Personal,593910.83,21551.44,0,557,Personal Loan,Closed,8.93,3
5516,Personal,465809.11,6619.98,0,769,Home Loan,Active,7.88,11
12892,Education,54491.84,11568.57,0,517,Education Loan,Active,9.99,12
17304,Home,340406.7,11422.51,0,538,Education Loan,Active,10.77,17
24051,Education,589077.92,11389.69,0,839,Business Loan,Active,10.35,18
7439,Education,706253.95,3868.91,0,354,Home Loan,Closed,14.89,16
1697,Home,795447.11,19059.35,0,802,Home Loan,Closed,8.51,1
1647,Personal,326485.01,9506.34,0,550,Home Loan,Active,8.79,13
14767,Auto,351013.3,21415.31,1,455,Auto Loan,Closed,12.5,11
12455,Home,578207.36,5960.03,1,718,Home Loan,Active,7.58,10
17290,Personal,938673.41,23208.85,0,406,Auto Loan,Active,12.46,15
7025,Personal,617559.68,8797.36,1,684,Auto Loan,Closed,13.87,9
4443,Personal,858236.67,13079.33,1,731,Personal Loan,Active,12.86,13
4585,Personal,124181.65,2755.22,1,390,Auto Loan,Closed,8.53,7
4868,Personal,628751.81,14909.45,0,703,Auto Loan,Active,9.25,2
9157,Education,581966.75,5198.44,1,342,Personal Loan,Active,10.8,11
12544,Auto,213997.6,23518.5,0,579,Auto Loan,Active,13.1,14
4310,Personal,637671.41,6544.43,1,388,Business Loan,Active,12.71,13
15749,Home,769244.05,15709.21,1,790,Personal Loan,Active,12.83,6
3576,Education,265207.71,17733.97,0,831,Home Loan,Closed,8,11
11282,Personal,809172.18,16132.33,0,456,Personal Loan,Closed,7.96,5
6623,Home,912332.51,22192.16,0,307,Personal Loan,Closed,7.04,16
21551,Personal,318743.02,17861.17,1,566,Education Loan,Active,9.18,19
11019,Auto,66044.62,20699.05,0,412,Auto Loan,Closed,12.17,10
11099,Personal,121246.55,19039.95,1,389,Personal Loan,Active,11.93,11
12935,Personal,101755.07,19262.08,1,634,Education Loan,Active,8.67,14
19735,Education,73680.06,1920.04,1,651,Education Loan,Active,8.69,5
17559,Personal,870882.25,22791.13,0,577,Auto Loan,Closed,9.42,18
6460,Auto,91883.53,15967.58,1,433,Auto Loan,Active,11.14,7
7921,Personal,842210.98,24724.27,1,647,Home Loan,Closed,11.89,2
16053,Personal,507318.29,2646.32,1,828,Education Loan,Closed,11.1,19
5238,Education,187008.77,21823.58,1,375,Auto Loan,Closed,10.65,19
18539,Personal,874307.04,18815.21,1,615,Personal Loan,Closed,13.41,17
23632,Auto,730026.63,14262.42,0,832,Personal Loan,Closed,8.18,13
571,Personal,545635.98,6616.73,0,355,Home Loan,Active,14.36,2
13990,Home,225714.02,4975.46,1,579,Personal Loan,Closed,13.72,19
23610,Education,493866.68,24137.62,0,758,Personal Loan,Active,11.18,5
9171,Personal,307476.31,4268.84,1,375,Auto Loan,Active,11.17,6
