customer_id,cost_to_serve,net_margin,CustomerLifetimeValue,NetProfitMargin,RevenueGenerated
1,1683.19,14081.74,516831.47,14.32,74010.27
2,2889.88,-362.15,876198.82,21.25,186192.25
3,1018.14,12101.45,595551.32,15.2,90523.8
4,568.18,6992.8,193272.56,13.98,27019.5
5,1369.92,15300.56,17750.43,13.57,2408.73
6,2564.64,18055.81,790402.44,20.06,158554.73
7,2233.33,16374.64,469736.46,18.77,88169.53
8,1251.39,7389.65,51583.46,9.16,4725.04
9,901.97,4045.93,323206.98,15.35,49612.27
10,1366.13,14605.32,741355.7,22.97,170289.4
11,1964.57,-1397.83,75976.24,24.72,18781.33
12,680.75,12380.76,698576.83,22.33,155992.21
13,1877.8,-1040.73,922060.06,16.38,151033.44
14,1394.53,-1667.64,337357.36,6.37,21489.66
15,2916.13,10220.22,326885.57,24.01,78485.23
16,2103.0,-1275.11,444360.86,10.09,44836.01
17,782.47,9951.24,492669.89,10.79,53159.08
18,1839.02,19403.96,510082.39,7.69,39225.34
19,1244.99,9013.64,909869.09,16.54,150492.35
20,1666.01,16018.21,472104.36,15.85,74828.54
21,615.91,12037.52,525349.9,9.03,47439.1
22,1049.39,19327.41,863795.5,19.26,166367.01
23,590.33,8417.63,200795.04,18.72,37588.83
24,1638.68,9952.2,691214.57,14.09,97392.13
25,2912.48,15881.8,498013.22,10.86,54084.24
26,1136.44,4778.02,39028.14,14.42,5627.86
27,2150.13,6124.27,988280.0,18.82,185994.3
28,1158.7,6794.18,468775.82,24.08,112881.22
29,1120.2,12387.07,844005.77,14.28,120524.02
30,2076.45,4477.37,854670.44,6.23,53245.97
31,1423.59,16508.84,256595.23,19.29,49497.22
32,1299.42,19701.16,962478.43,6.95,66892.25
33,2220.63,6677.82,879175.02,24.98,219617.92
34,2124.11,-1193.79,289984.95,15.03,43584.74
35,1755.45,17065.01,626532.77,11.45,71738.0
36,2964.11,7534.16,886379.59,11.51,102022.29
37,914.24,13224.16,493764.41,14.04,69324.52
38,549.3,5451.29,890084.57,12.67,112773.72
39,1927.05,9680.62,345072.65,17.3,59697.57
40,1791.05,1601.94,419650.77,14.9,62527.96
41,2952.32,2832.67,769543.9,7.39,56869.29
42,690.04,19876.53,676325.66,12.73,86096.26
43,2142.09,11131.34,301629.3,6.51,19636.07
44,804.65,3666.26,695335.86,9.36,65083.44
45,807.72,179.79,875939.1,24.48,214429.89
46,1422.34,17690.42,701376.97,14.28,100156.63
47,1100.33,-1948.05,543009.19,6.21,33720.87
48,522.09,19289.71,72440.16,23.28,16864.07
49,647.61,16369.91,42128.55,6.66,2805.76
50,2808.02,11646.98,481705.61,5.55,26734.66
51,2620.01,16541.88,478924.27,24.13,115564.43
52,1581.13,-1318.02,694400.5,21.87,151865.39
53,875.07,10888.54,649823.23,16.82,109300.27
54,1945.29,-1653.02,641104.62,14.27,91485.63
55,1021.11,9314.29,804477.75,20.12,161860.92
56,2774.54,8525.41,106517.01,21.82,23242.01
57,2835.06,5536.77,679161.61,12.86,87340.18
58,1719.53,641.13,81263.54,21.81,17723.58
59,2991.08,7774.61,877841.25,6.87,60307.69
60,1890.52,2814.11,409051.13,21.5,87945.99
61,2877.35,92.83,315330.09,7.02,22136.17
62,1337.57,8741.53,154345.31,14.78,22812.24
63,2378.22,-617.35,393800.51,24.63,96993.07
64,2847.28,2045.35,863981.2,16.82,145321.64
65,2046.82,11239.0,76148.76,18.49,14079.91
66,1079.04,10125.67,830233.52,12.78,106103.84
67,2153.7,18615.89,832690.03,5.9,49128.71
68,2814.04,4269.78,328627.06,21.94,72100.78
69,1277.23,-1961.85,156869.21,21.75,34119.05
70,1814.46,16310.47,382555.87,8.73,33397.13
71,639.94,13114.69,679024.8,13.83,93909.13
72,785.16,-1179.86,677908.69,15.89,107719.69
73,2592.29,15249.38,965680.66,17.34,167449.03
74,2381.74,1615.47,601278.71,21.69,130417.35
75,944.67,-1989.71,198853.04,10.87,21615.33
76,1856.73,8742.93,244029.15,13.48,32895.13
77,1454.59,3996.99,774422.04,23.6,182763.6
78,2457.42,6796.32,895650.09,23.72,212448.2
79,1353.36,13982.96,823424.74,15.83,130348.14
80,2534.27,-439.89,815627.91,19.38,158068.69
81,1338.37,11970.12,554136.63,16.7,92540.82
82,2382.31,16372.53,525335.46,12.22,64195.99
83,1987.91,4971.99,566354.48,11.4,64564.41
84,710.04,11709.46,541801.15,16.29,88259.41
85,1357.16,1926.26,323972.96,18.93,61328.08
86,625.89,18608.91,13979.14,18.5,2586.14
87,1218.4,19631.14,345929.11,22.9,79217.77
88,920.78,12398.4,928848.31,18.66,173323.09
89,2308.3,3549.08,267289.2,13.28,35496.01
90,1093.77,2043.42,231673.13,24.52,56806.25
91,2169.22,14979.48,950082.47,11.37,108024.38
